"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"IGHG3",5.15751327063752e-127,3.63031917652194,0.655,0.077,1.16554642403137e-122,"7","IGHG3",0.578
"ELL2",6.92668026538145e-127,0.695725276632694,0.63,0.069,1.56536047317355e-122,"7","ELL2",0.561
"TNFRSF171",9.04656440547762e-127,0.945927261947583,0.655,0.075,2.04443308999389e-122,"7","TNFRSF17",0.58
"IGLL5",3.79654241006387e-123,1.53382034590757,0.605,0.067,8.57980619250334e-119,"7","IGLL5",0.538
"FCRL51",8.18558089574152e-123,1.06868551894644,0.731,0.098,1.84985942662863e-118,"7","FCRL5",0.633
"SLC17A9",2.90137690323571e-120,0.489352612772602,0.487,0.043,6.55682166362238e-116,"7","SLC17A9",0.444
"RGS131",4.11350943598983e-113,1.78985005996759,0.84,0.147,9.29611997439341e-109,"7","RGS13",0.693
"DNAJB9",2.04777383958273e-111,1.38548135719485,0.815,0.14,4.62776410007302e-107,"7","DNAJB9",0.675
"IGLC21",4.46037697643848e-110,2.87787562453145,0.79,0.141,1.00800059290533e-105,"7","IGLC2",0.649
"LINC01480",1.03396303042837e-102,1.29604693175743,0.571,0.07,2.33665305246507e-98,"7","LINC01480",0.501
"FKBP11",8.67260435186911e-99,1.62057269758326,0.874,0.214,1.9599218574789e-94,"7","FKBP11",0.66
"RASSF61",5.18204661486399e-97,0.961398303612202,0.714,0.108,1.17109071449311e-92,"7","RASSF6",0.606
"CPNE51",6.46699596626781e-93,0.656676816535234,0.563,0.07,1.46147641841686e-88,"7","CPNE5",0.493
"EIF2AK3",8.51190876145493e-92,0.374401154245418,0.504,0.055,1.9236062610012e-87,"7","EIF2AK3",0.449
"QPCT1",1.20016226757308e-91,0.57973295411694,0.513,0.061,2.71224670848839e-87,"7","QPCT",0.452
"FBP12",2.12715685955232e-89,1.81227287479136,0.689,0.122,4.8071617869023e-85,"7","FBP1",0.567
"AC106897.1",6.54112871201734e-88,0.321316197222775,0.336,0.028,1.4782296776288e-83,"7","AC106897.1",0.308
"GAB1",1.49670154258093e-87,0.358133501768802,0.378,0.035,3.38239581607863e-83,"7","GAB1",0.343
"QRICH2",3.68388850971808e-85,0.253856225730505,0.261,0.017,8.32521964311188e-81,"7","QRICH2",0.244
"PRDX41",1.48583558461492e-84,1.47078431209995,0.866,0.234,3.35783983767126e-80,"7","PRDX4",0.632
"C11orf80",1.75360612005217e-83,0.329887628192517,0.378,0.036,3.96297447070589e-79,"7","C11orf80",0.342
"COL9A31",5.54711454648731e-81,0.822503395655988,0.546,0.078,1.25359241636067e-76,"7","COL9A3",0.468
"IGHA11",5.59285809000259e-81,2.9937419297341,0.613,0.108,1.26392999975969e-76,"7","IGHA1",0.505
"CD79A2",5.40353784729882e-80,2.12138632596564,0.958,0.328,1.22114551811106e-75,"7","CD79A",0.63
"FNDC3B1",1.54149549152454e-78,0.421020269631529,0.345,0.032,3.48362566129631e-74,"7","FNDC3B",0.313
"SPATS21",8.56894527448727e-78,0.664822829148021,0.664,0.119,1.93649594258138e-73,"7","SPATS2",0.545
"DENND6B",1.48295759279234e-77,0.559461240677808,0.546,0.078,3.35133586395141e-73,"7","DENND6B",0.468
"CREB3L2",3.49171588159303e-76,0.723444301324967,0.605,0.101,7.89092872081208e-72,"7","CREB3L2",0.504
"SH2B2",2.35105437830191e-75,0.411049956247262,0.471,0.059,5.31314778952449e-71,"7","SH2B2",0.412
"XBP11",1.24293867441482e-74,2.02903103760386,0.933,0.436,2.80891711031005e-70,"7","XBP1",0.497
"UAP1",1.90743729780321e-74,0.54666065781274,0.571,0.091,4.31061754930548e-70,"7","UAP1",0.48
"SEC11C1",7.57556493690663e-73,1.79479307913236,0.933,0.418,1.71200192009153e-68,"7","SEC11C",0.515
"WIPI1",9.21683266139324e-73,0.400646499828227,0.429,0.051,2.08291201314826e-68,"7","WIPI1",0.378
"MAN1A1",3.92556694461825e-71,0.334706539982544,0.42,0.05,8.87138873814279e-67,"7","MAN1A1",0.37
"RBM471",1.32678936477531e-70,0.257807871011124,0.286,0.024,2.99841128545571e-66,"7","RBM47",0.262
"PDIA4",8.38525006097467e-70,2.50070129494223,0.916,0.336,1.89498266127967e-65,"7","PDIA4",0.58
"UBE2J13",1.30681820436557e-69,1.47185993907411,0.866,0.281,2.95327846004574e-65,"7","UBE2J1",0.585
"CRELD2",2.09216193141302e-69,1.03670266239173,0.798,0.202,4.72807674880027e-65,"7","CRELD2",0.596
"LINC02576",1.1893798115074e-68,0.314438135521283,0.294,0.027,2.68787943602558e-64,"7","LINC02576",0.267
"PIK3CD-AS2",5.88621750785613e-68,0.257408442761494,0.328,0.033,1.33022629460041e-63,"7","PIK3CD-AS2",0.295
"IRF41",7.20609264707765e-68,0.839961863596784,0.605,0.111,1.62850487731308e-63,"7","IRF4",0.494
"POU2AF12",6.11007955634428e-67,1.027931481608,0.849,0.227,1.38081687893824e-62,"7","POU2AF1",0.622
"PLPP51",1.94639687959696e-66,0.746321560214476,0.723,0.152,4.39866230820117e-62,"7","PLPP5",0.571
"APOD",2.5265600692455e-66,1.50681474635325,0.42,0.054,5.70977310048789e-62,"7","APOD",0.366
"PYCR1",5.02305600203724e-66,0.423178705735126,0.345,0.038,1.1351604259004e-61,"7","PYCR1",0.307
"FKBP2",1.13552036050145e-65,1.06281505353678,0.857,0.237,2.56616246269723e-61,"7","FKBP2",0.62
"CLIC4",1.57096049833584e-65,0.413586329357868,0.529,0.085,3.55021363018917e-61,"7","CLIC4",0.444
"SSR4",1.18054761499702e-64,2.24067484293116,0.95,0.8,2.66791955513178e-60,"7","SSR4",0.15
"LMF1",1.34557835900314e-64,0.687518440073112,0.479,0.073,3.0408725335112e-60,"7","LMF1",0.406
"ZBP1",1.44133152118214e-63,0.607737857783272,0.605,0.106,3.25726510471952e-59,"7","ZBP1",0.499
"SLC1A41",3.04494537964348e-62,0.413503170776843,0.546,0.09,6.8812720634563e-58,"7","SLC1A4",0.456
"PRDM151",3.81781479801093e-62,0.675867662327881,0.462,0.07,8.62787966202489e-58,"7","PRDM15",0.392
"FNDC3A",7.52430298874769e-62,0.540764419023162,0.647,0.122,1.70041723242709e-57,"7","FNDC3A",0.525
"TXNDC11",2.73766505795779e-61,1.04411675796603,0.773,0.203,6.18684926447881e-57,"7","TXNDC11",0.57
"HSPA13",4.82691283270376e-61,0.497545062847716,0.496,0.078,1.09083403106272e-56,"7","HSPA13",0.418
"ST6GALNAC4",9.18317881095699e-61,0.622933229558546,0.731,0.169,2.07530657948817e-56,"7","ST6GALNAC4",0.562
"SLAMF72",3.91132081892752e-60,0.867281754867933,0.714,0.159,8.83919391869429e-56,"7","SLAMF7",0.555
"SDF2L11",2.14588174581184e-59,1.35428183791514,0.866,0.304,4.84947815736018e-55,"7","SDF2L1",0.562
"SEL1L",1.54872629908769e-58,0.860713675225999,0.697,0.156,3.49996656330827e-54,"7","SEL1L",0.541
"PRDM11",1.81841637610653e-58,0.616978175797115,0.714,0.152,4.10943916836315e-54,"7","PRDM1",0.562
"LLGL2",2.15377401106524e-58,0.321702477138362,0.378,0.05,4.86731388760634e-54,"7","LLGL2",0.328
"SEMA4A1",3.08082061823272e-58,0.796556159930319,0.765,0.192,6.96234651514413e-54,"7","SEMA4A",0.573
"HERPUD11",4.86062942924656e-58,2.47600540684999,0.908,0.463,1.09845364471543e-53,"7","HERPUD1",0.445
"GALNT2",9.67180650618592e-58,0.591913664278819,0.613,0.123,2.18573155233296e-53,"7","GALNT2",0.49
"HSP90B12",6.06338173415144e-57,2.39445702927439,0.958,0.653,1.37026363810088e-52,"7","HSP90B1",0.305
"PIK3CG",6.243228793186e-57,0.627139085683387,0.58,0.115,1.4109072749721e-52,"7","PIK3CG",0.465
"MYDGF1",1.77198502128995e-56,1.28321920726644,0.899,0.402,4.00450894961317e-52,"7","MYDGF",0.497
